audio_id,file_name,category,resolved_path,duration,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std
audio_0509,audio_0509.mp3,clock,..\..\data\raw\audio\audio_0509.mp3,24.530385487528346,0.0034699428360909224,0.0017116055823862553,0.061807998758278145,0.04488453945710954,3072.689603928788,481.5220757441042,3266.8262941925473,327.7086185751525,7445.425839455712,926.4105735824738
audio_0510,audio_0510.mp3,clock,..\..\data\raw\audio\audio_0510.mp3,3.964263038548753,0.024059509858489037,0.009801778011023998,0.003258063779239766,0.003043974980482692,434.96249094188727,155.5346512034864,1315.4872019362003,205.30088411416426,488.77852590460526,399.2209542760465
audio_0511,audio_0511.mp3,clock,..\..\data\raw\audio\audio_0511.mp3,13.974421768707483,0.011914937756955624,0.005489117465913296,0.05473535480689369,0.02445013959988466,2248.6098761863054,278.7601132234544,2780.045329162368,363.91526948030895,5543.512104832849,891.5771715576608
audio_0512,audio_0512.mp3,clock,..\..\data\raw\audio\audio_0512.mp3,12.144308390022676,0.004793201107531786,0.0025003773625940084,0.013358778625954198,0.012262193277330245,1105.9855929944881,470.1191646898502,2142.1572044185336,271.51122216013243,2275.102082463621,1393.0491065257577
audio_0513,audio_0513.mp3,clock,..\..\data\raw\audio\audio_0513.mp3,7.9117913832199545,0.005914021283388138,0.0074867065995931625,0.20558931680718476,0.034892938541883224,3048.525128138823,464.6706882842335,2073.0939825138344,186.1175483963832,5737.335688347691,791.972155440867
audio_0514,audio_0514.mp3,clock,..\..\data\raw\audio\audio_0514.mp3,5.2628571428571425,0.0071468050591647625,0.008333945646882057,0.2695527601872247,0.03130573494296165,3463.205438743728,259.675807754469,2066.6110708571864,186.72551214455484,5899.4336367703745,404.85677291588445
audio_0515,audio_0515.mp3,clock,..\..\data\raw\audio\audio_0515.mp3,10.824897959183673,0.01070343516767025,0.025607122108340263,0.5021685124464668,0.12983179188483723,5602.098839437349,1113.9429782521993,2575.735845606886,636.738714324479,8403.528485512581,1587.4016258017662
audio_0516,audio_0516.mp3,clock,..\..\data\raw\audio\audio_0516.mp3,15.98185941043084,0.03493364527821541,0.021984506398439407,0.01909611982946299,0.021567699557830545,1279.675660811707,362.53673318479866,2267.873897504754,433.4881982518105,2923.812073374002,1415.0528006720742
audio_0517,audio_0517.mp3,clock,..\..\data\raw\audio\audio_0517.mp3,7.99092970521542,0.03663330525159836,0.018799543380737305,0.029643625452898552,0.03246504953621616,1496.755026180292,792.4208619429245,2256.690213186926,243.6437525706617,2995.081309442935,1744.237371034197
audio_0518,audio_0518.mp3,clock,..\..\data\raw\audio\audio_0518.mp3,3.99546485260771,0.03699743002653122,0.012762760743498802,0.045909727239884394,0.036042456123293924,2000.6145669970872,1167.3500511818766,2346.521754397862,399.4685830094509,3891.2240618226156,2254.139336825411
