id,source,freesound_id,name,username,license,duration,tags,description,audio_url,local_path,audio_id,file_name,file_path,category,query,source_api,source_url,audio_download_url,created,resolved_path,exists,duration_numeric,duration_status
,,,Winter forest NL 1110AM 220124_0326.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,25.4022,"Holland,January,Loonse-en-Drunense-Duinen,Netherlands,Western-Europe,ambience,ambient,atmospheric,background-sound,birds,birdsong,calm,field-recording,forest,general-noise,nature-ambience,van-gogh-nationaal-park,white-noise,white-nose,winter,woods",,,,audio_0372,audio_0372.mp3,..\..\data\raw\audio\audio_0372.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/616105/,https://cdn.freesound.org/previews/616/616105_1648170-hq.mp3,2022-01-27T15:15:15Z,..\..\data\raw\audio\audio_0372.mp3,True,25.4022,known
,,,forest calm NL 03 DeNoise 200529_0181.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,22.0971,"Europe,Holland,Netherlands,ambiance,ambience,ambient,atmos,atmosphere,atmospheric,background-sound,bird,birds,birdsong,calm,cleaned,daytime,denoise,field-recording,forest,general-noise,may,nature,nature-ambience,peaceful,placid,quiet,soundscape,spring,white-noise,woods",,,,audio_0373,audio_0373.mp3,..\..\data\raw\audio\audio_0373.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/581413/,https://cdn.freesound.org/previews/581/581413_1648170-hq.mp3,2021-07-28T07:16:09Z,..\..\data\raw\audio\audio_0373.mp3,True,22.0971,known
,,,forest summer NL 137PM 210712_030.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,23.3136,"Holland,Netherlands,afternoon,ambiance,ambience,ambient,atmospheric,background-sound,birds,calm,field-recording,forest,general-noise,july,lazy,nature,nature-ambience,peaceful,quiet,soundscape,summer,white-noise,wind,woods",,,,audio_0374,audio_0374.mp3,..\..\data\raw\audio\audio_0374.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/585902/,https://cdn.freesound.org/previews/585/585902_1648170-hq.mp3,2021-09-06T07:36:40Z,..\..\data\raw\audio\audio_0374.mp3,True,23.3136,known
,,,forest calm NL MONO 03 200529_0181.mp3,klankbeeld,https://creativecommons.org/licenses/by/4.0/,16.4871,"Europe,Holland,Netherlands,ambiance,ambience,ambient,atmos,atmosphere,atmospheric,background-sound,bird,birds,birdsong,calm,daytime,field-recording,forest,general-noise,may,nature,nature-ambience,peaceful,placid,quiet,soundscape,spring,white-noise,woods",,,,audio_0375,audio_0375.mp3,..\..\data\raw\audio\audio_0375.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/591744/,https://cdn.freesound.org/previews/591/591744_1648170-hq.mp3,2021-10-12T05:27:40Z,..\..\data\raw\audio\audio_0375.mp3,True,16.4871,known
,,,forest calm NL 03 200529_0181.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,22.0971,"Europe,Holland,Netherlands,ambiance,ambience,ambient,atmos,atmosphere,atmospheric,background-sound,bird,birds,birdsong,calm,daytime,field-recording,forest,general-noise,may,nature,nature-ambience,peaceful,placid,quiet,soundscape,spring,white-noise,woods",,,,audio_0376,audio_0376.mp3,..\..\data\raw\audio\audio_0376.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/610981/,https://cdn.freesound.org/previews/610/610981_1648170-hq.mp3,2021-12-08T14:46:00Z,..\..\data\raw\audio\audio_0376.mp3,True,22.0971,known
,,,forest summer Roond 017 200619_0186.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,13.4712,"Forest,Netherlands,ambiance,ambience,ambient,birds,calm,early,field,field-recording,forest,friendly,general-noise,kampina,morning,nature,parking,peaceful,recording,relaxing,soundscape,spring,summer,traffic,van-gogh-nationaal-park,white-noise,woods",,,,audio_0377,audio_0377.mp3,..\..\data\raw\audio\audio_0377.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/529482/,https://cdn.freesound.org/previews/529/529482_1648170-hq.mp3,2020-08-01T11:57:56Z,..\..\data\raw\audio\audio_0377.mp3,True,13.4712,known
,,,forest calm NL 02 200529_0181.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,20.0973,"Europe,Holland,Netherlands,ambiance,ambience,ambient,atmos,atmosphere,atmospheric,background-sound,bird,birds,birdsong,calm,daytime,field-recording,forest,general-noise,may,nature,nature-ambience,peaceful,placid,quiet,soundscape,spring,white-noise,woods",,,,audio_0378,audio_0378.mp3,..\..\data\raw\audio\audio_0378.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/520977/,https://cdn.freesound.org/previews/520/520977_1648170-hq.mp3,2020-06-03T12:06:01Z,..\..\data\raw\audio\audio_0378.mp3,True,20.0973,known
,,,forest summer Roond 015 200619_0186.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,12.1431,"Forest,Netherlands,ambiance,ambience,ambient,birds,calm,early,field,field-recording,forest,friendly,general-noise,kampina,morning,nature,parking,peaceful,recording,relaxing,soundscape,spring,summer,traffic,van-gogh-nationaal-park,white-noise,woods",,,,audio_0379,audio_0379.mp3,..\..\data\raw\audio\audio_0379.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/528353/,https://cdn.freesound.org/previews/528/528353_1648170-hq.mp3,2020-07-19T05:13:01Z,..\..\data\raw\audio\audio_0379.mp3,True,12.1431,known
,,,High Tension Pulsing Drone Suspense Soundscape,DanaiOuranos,http://creativecommons.org/publicdomain/zero/1.0/,26.4828,"atmosphere,cinematic,creepy,dark,deep,drone,horror,layered,pulsing,sci-fi,soundscape,suspense,tension,textured,thrill,thriller,uneasy,unsettling",,,,audio_0380,audio_0380.mp3,..\..\data\raw\audio\audio_0380.mp3,tense,tension soundscape,Freesound,https://freesound.org/people/DanaiOuranos/sounds/845551/,https://cdn.freesound.org/previews/845/845551_7155498-hq.mp3,2026-02-17T01:57:13Z,..\..\data\raw\audio\audio_0380.mp3,True,26.4828,known
,,,High tension buildup.wav,juskiddink,https://creativecommons.org/licenses/by/4.0/,6.90447,"accordion,alarm,buildup,cinema,cinematic,climax,creepy,dread,effect,fear,film,fx,horror,intense,movie,noise,processed,shock,sound,soundscape,strange,suspense,tense,tension",,,,audio_0381,audio_0381.mp3,..\..\data\raw\audio\audio_0381.mp3,tense,tension soundscape,Freesound,https://freesound.org/people/juskiddink/sounds/117133/,https://cdn.freesound.org/previews/117/117133_649468-hq.mp3,2011-03-22T20:36:30Z,..\..\data\raw\audio\audio_0381.mp3,True,6.90447,known
